ProcessNum, Sample, Priority, Elapsed_Time_Microseconds
0, 1, -10, 300000
0, 2, -10, 300000
0, 3, -10, 316666
0, 4, -10, 316667
0, 5, -10, 333334
0, 6, -10, 300000
0, 7, -10, 333333
0, 8, -10, 316667
0, 9, -10, 316667
0, 10, -10, 316666
0, 11, -10, 316667
0, 12, -10, 333334
0, 13, -10, 316667
0, 14, -10, 316667
0, 15, -10, 333334
0, 16, -10, 316667
0, 17, -10, 316667
0, 18, -10, 316666
0, 19, -10, 316666
0, 20, -10, 333333
0, 21, -10, 333333
0, 22, -10, 316667
0, 23, -10, 316667
0, 24, -10, 316667
0, 25, -10, 316666
0, 26, -10, 316666
0, 27, -10, 316666
0, 28, -10, 316666
0, 29, -10, 316667
0, 30, -10, 300000
1, 1, 0, 300000
1, 2, 0, 316667
1, 3, 0, 316666
1, 4, 0, 316667
1, 5, 0, 333334
1, 6, 0, 316667
1, 7, 0, 333333
1, 8, 0, 333333
1, 9, 0, 316667
1, 10, 0, 316666
1, 11, 0, 316667
1, 12, 0, 333334
1, 13, 0, 333334
1, 14, 0, 333334
1, 15, 0, 333334
1, 16, 0, 333334
1, 17, 0, 316667
1, 18, 0, 333333
1, 19, 0, 316666
1, 20, 0, 333333
1, 21, 0, 333333
1, 22, 0, 316667
1, 23, 0, 333334
1, 24, 0, 316667
1, 25, 0, 333333
1, 26, 0, 333333
1, 27, 0, 333333
1, 28, 0, 333333
1, 29, 0, 333333
1, 30, 0, 316667
2, 1, 10, 450000
2, 2, 10, 466667
2, 3, 10, 466666
2, 4, 10, 500000
2, 5, 10, 483334
2, 6, 10, 466667
2, 7, 10, 483333
2, 8, 10, 483333
2, 9, 10, 466667
2, 10, 10, 483333
2, 11, 10, 483333
2, 12, 10, 500000
2, 13, 10, 483334
2, 14, 10, 500000
2, 15, 10, 500000
2, 16, 10, 483334
2, 17, 10, 483334
2, 18, 10, 483333
2, 19, 10, 483333
2, 20, 10, 500000
2, 21, 10, 483333
2, 22, 10, 483333
2, 23, 10, 483334
2, 24, 10, 466667
2, 25, 10, 483333
2, 26, 10, 500000
2, 27, 10, 483333
2, 28, 10, 483333
2, 29, 10, 483333
2, 30, 10, 466667
